objectid,cross,object_location,image_small,image_thumb
01-03-679,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-679.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-679_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-679_th.jpg
01-03-680,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-680.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-680_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-680_th.jpg
01-03-682,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-682.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-682_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-682_th.jpg
01-03-683,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-683.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-683_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-683_th.jpg
01-03-684,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-684.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-684_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-684_th.jpg
01-03-686,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-686.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-686_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-686_th.jpg
01-03-687,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-687.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-687_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-687_th.jpg
01-03-689,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-689.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-689_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-689_th.jpg
01-03-690,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-690.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-690_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-690_th.jpg
01-03-691,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-691.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-691_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-691_th.jpg
01-03-694,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-694.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-694_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-694_th.jpg
01-03-695,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-695.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-695_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-695_th.jpg
01-03-698,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-698.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-698_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-698_th.jpg
01-03-699,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-699.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-699_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-699_th.jpg
01-03-700,,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/01-03-700.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/small/01-03-700_sm.jpg,https://latahcountyhistory.sfo3.digitaloceanspaces.com/moscow/thumbs/01-03-700_th.jpg
